大学,schoolID,院系
其它学校,1,其它院系
清华大学,1001,建筑学院,经济管理学院,土木水利学院,公共管理学院,环境学院,马克思主义学院,机械工程学院,人文学院,航天航空学院,社会科学学院,信息科学技术学院,法学院,新闻与传播学院,五道口金融学院,材料学院,电机工程与应用电子技术系,工程物理系,化学工程系,核能与新能源技术研究院,美术学院,理学院,生命科学学院,体育部,艺术教育中心,语言教学中心,医学院,药学院,教育研究院,继续教育学院,深圳国际研究生院,苏世民书院,全球创新学院,新雅书院,高等研究院,交叉信息研究院,航空发动机研究院,燃烧能源中心,数学科学中心,未来实验室,脑与智能实验室,出土文献研究与保护中心,其它院系
北京大学,1002,数学科学学院,物理学院,化学与分子工程学院,生命科学学院,城市与环境学院,地球与空间科学学院,心理与认知科学学院,建筑与景观设计学院,信息科学技术学院,工学院,王选计算机研究所,软件与微电子学院,环境科学与工程学院,软件工程国家工程研究中心,国际关系学院,法学院,信息管理系,社会学系,政府管理学院,马克思主义学院,教育学院,新闻与传播学院,体育教研部,中国语言文学系,历史学系,考古文博学院,哲学系（宗教学系）,外国语学院,艺术学院,对外汉语教育学院,歌剧研究院,基础医学院,药学院,公共卫生学院,护理学院,医学人文学院,医学继续教育学院,第一医院,人民医院,第三医院,口腔医院,北京肿瘤医院,第六医院,深圳医院,首钢医院,国际医院,滨海医院,经济学院,光华管理学院,人口研究所,国家发展研究院,元培学院,分子医学研究所,北京国际数学研究中心,前沿交叉学科研究院,核科学与技术研究院,燕京学堂,现代农学院,深圳研究生院,信息工程学院,化学生物学与生物技术学院,环境与能源学院,城市规划与设计学院,新材料学院,汇丰商学院,国际法学院,人文社会科学学院,人工智能研究院,其它院系
中国人民大学,1003,心理学系,律师学院,信息学院,信息资源管理学院,公共管理学院,农业与农村发展学院,劳动人事学院,化学系,历史学院,哲学院,中法学院,商学院,国学院,国际关系学院,教育学院,培训学院,外国语学院,艺术学院,文学院,新闻学院,法学院,研究生院,物理系,环境学院,社会与人口学院,经济学院,统计学院,财政金融学院,马克思主义学院,国际教育学院,知识产权学院,其它院系
北京师范大学,1006,体育与运动学院,信息科学与技术学院,化学学院,历史学院,哲学与社会学学院,地理学与遥感科学学院,外国语言文学学院,天文系,心理学院,数学科学学院,文学院,汉语文化学院,法学院,物理学系,环境学院,生命科学学院,社会发展与公共政策学院,政府管理学院,经济与工商管理学院,艺术与传媒学院,资源学院,教育学部,核科学与技术学院,系统科学学院,马克思主义学院,瀚德学院,其它院系
华东师范大学,2004,地球科学学部,教育学部,经济与管理学部,信息学部,人文社会科学学院,马克思主义学院,法学院,社会发展学院,外语学院,国际汉语文化学院,心理与认知科学学院,体育与健康学院,传播学院,音乐学院,美术学院,设计学院,数学科学学院,物理与电子科学学院,化学与分子工程学院,生命科学学院,思勉人文高等研究院,国际关系与地区发展研究院,城市发展研究院,转化科学与技术联合研究院,孟宪承书院,经管书院,大夏书院,光华书院,开放教育学院,地理科学学院,生态与环境科学学院,城市与区域科学学院,河口海岸科学研究院,崇明生态研究院,教育学系,课程与教学系,教育信息技术学系,教育管理系,学前教育学系,特殊教育学系,教育康复学系,教育心理学系,上海教师发展学院,教师教育学院,经济学院,工商管理学院,公共管理学院,统计学院,亚欧商学院,计算机科学与技术学院,软件工程学院,数据科学与工程学院,通信与电子工程学院,中国语言文学系,历史学系,哲学系,政治学系,社会学系,社会工作系,英语系,日语系,法语系,德语系,俄语系,翻译系,汉语言系,汉语国际教育系,心理学系,应用心理学系,运动学系,体育教育系,社会体育系,新闻学系,广告学系,广播电视学系,出版与文化系,物理学系,材料科学系,电子科学系,化学系,生物学系,生命医学系,其它院系
上海财经大学,2005,商学院,人文学院,会计学院,信息管理与工程学院,公共经济与管理学院,国际从业资格教育学院,国际工商管理学院,国际教育学院,国际文化交流学院,外国语学院,数学学院,法学院,经济学院,统计与管理学院,城市与区域科学学院,金融学院,其它院系
华东理工大学,2006,中德工学院,体育科学与工程学院,信息科学与工程学院,化学与分子工程学院,化工学院,商学院,国际教育学院,外国语学院,机械与动力工程学院,材料科学与工程学院,法学院,理学院,生物工程学院,研究生院,社会与公共管理学院,艺术设计与传媒学院,药学院,资源与环境工程学院,化学与分子工程学院,马克思主义学院,国际卓越工程师学院,其它院系
上海理工大学,2009,中德学院,中英国际学院,光电信息与计算机工程学院,出版印刷与艺术设计学院,能源与动力工程学院,医疗器械与食品学院,材料科学与工程学院,环境与建筑学院,基础学院,外语学院,机械工程学院,理学院,工程科技学院,管理学院,社会科学学院,沪江学院,其它院系
哈尔滨工程大学,3002,船舶工程学院,航天与建筑工程学院,动力与能源工程学院,自动化学院,水声工程学院,计算机科学与技术学院、国家保密学院、软件学院,机电工程学院,信息与通信工程学院,经济管理学院,材料科学与化学工程学院,数学科学学院,物理与光电工程学院,外语系,人文社会科学学院,马克思主义学院,核科学与技术学院,体育部,其它院系
东北林业大学,3003,交通学院,文法学院,信息与计算机工程学院,园林学院,土木工程学院,外国语学院,工程技术学院,机电工程学院,材料科学与工程学院,林学院,理学院,生命科学学院,马克思主义学院,研究生部,经济管理学院,野生动物资源学院,国际交流学院,其它院系
哈尔滨医科大学,3005,公共卫生学院,卫生管理学院,口腔医学院,基础医学院,大庆校区,国际教育学院,护理学院,人文社会科学学院,生物信息科学与技术学院,研究生学院,第一临床医学院,第二临床医学院,第三临床医学院,药学院,马克思主义学院,其它院系
黑龙江中医药大学,3006,临床医学院,人文与管理学院,佳木斯学院,国际教育学院,基础医学院,研究生院,药学院,针灸推拿学院/康复学院,医学信息工程,其它院系
黑龙江工程学院,3007,人文与社会科学系,土木与建筑工程学院,外语系,数学系,机电工程学院,材料与化学工程学院,汽车与交通工程学院,测绘工程学院,电气与信息工程学院,经济管理学院,职业技术学院,计算机科学技术学院,艺术学院,国际合作教育中心,其它院系
长春大学,4003,人文学院、行政学院,食品科学与工程学院、园林学院,国际教育学院,外国语学院,机械与车辆工程学院,特殊教育学院,理学院,电子信息工程学院,管理学院,经济学院,美术学院,计算机科学技术学院,音乐学院,应用技术学院,行政学院,网络安全学院,文学院,中俄学院,继续教育学院,体育教研部,外国语学院,马克思主义学院,应用技术学院,创新创业教育学院,其它院系
吉林农业大学,4004,中药材学院,人文学院,信息技术学院,农学院,动物科学技术学院,马克思主义学院,园艺学院,外国语学院,工程技术学院,生命科学学院,研究生部,经济管理学院,资源与环境学院,食品科学与工程学院,其它院系
长春中医药大学,4005,基础医学院,中医学院,药学院,针灸推拿学院,护理学院,健康管理学院,临床医学院,康复医学院,马克思主义学院,体育教学部,创新实践中心,“吉林青马工程”基地,创新创业学院,外语教学部,医药信息学院,职业技术学院,继续教育学院,国际教育学院,人文管理学院,其它院系
吉林化工学院,4007,信息与控制工程学院,化学与制药工程学院,石油化工学院,外国语学院,机电工程学院,理学院,经济管理学院,材料科学与工程学院,航空工程职业技术学院,汽车工程学院,资源与环境工程学院,生物与食品工程学院,其它院系
吉林建筑大学,4008,交通科学与工程学院,土木工程学院,基础科学部,外国语学院,市政与环境工程学院,建筑与规划学院,文法学院,材料科学与工程学院,电气与计算机学院,经济与管理学院,职业技术学院,艺术设计学院,计算机科学与工程学院,测绘与勘查工程学院,国际交流学院,研究生学院,马克思主义学院,继续教育学院,应用技术学院,应急科学与工程学院,书法学院,BIM学院,其它院系
长春工程学院,4009,电气与信息工程学院,机电工程学院,能源动力工程学院,土木工程学院,水利与环境工程学院,勘查与测绘工程学院,建筑与设计学院,管理学院,理学院,外语学院,计算机技术与工程学院,国防教育学院,研究生部,其它院系
大连理工大学,5001,人文与社会科学学部,化工与环境生命学部,国家示范性软件学院,国防教育学院,建设工程学部,外国语学院,运载工程与力学学部,数学科学学院,建筑与艺术学院,机械工程与材料能源学部,物理与光电工程学院,电子信息与电气工程学部,管理与经济学部,国际教育学院,创新实验学院,立命馆大学国际信息与软件学院,其它院系
